Name,Datum,Art,Schwelle,Anteil,Anteil 21_22,id,Kommentar
WCM Beteiligungs- und Grundbesitz-AG,26.09.2013,<,3%,2.95%,???,id_12801406.html,"mehrere Daten, §21,22 unklar, "
WCM Beteiligungs- und Grundbesitz-AG,29.01.2013,>,3%,3.06%,???,id_12801414.html,"mehrere Daten, §21,22 unklar, "
Daimler AG,9.04.2014,>,5%,5.14%,"3,54%",id_12972995.html,
Daimler AG,17.04.2014,<>,10%,10.18%,"2,41%",id_12999160.html,"2 in 1er Meldung, "
Daimler AG,22.04.2014,<,5%,0%,"0,11%",id_13014350.html,
Bayer Aktiengesellschaft,25.04.2014,>,5%,6.89%,"3,59%",id_13047557.html,
Bayer Aktiengesellschaft,25.04.2014,>,3%,3.59%,"0,01%",id_13047559.html,"mehrere Daten, "
Bayer Aktiengesellschaft,28.04.2014,<,3%,2.99%,"0,01%",id_13047569.html,"mehrere Daten, "
Bayer Aktiengesellschaft,25.04.2014,>,5%,8.97%,"3,59%",id_13047574.html,
Bayer Aktiengesellschaft,29.04.2014,>,3%,3.39%,"0,01%",id_13047576.html,"mehrere Daten, "
BASF SE,30.04.2014,>,3%,4.15%,???,id_13066704.html,"mehrere Daten, §21,22 unklar, "
Münchener Rückversicherungs-Gesellschaft,05.05.2014,>,"5%, 10%",11.65%,"5,32%",id_13095316.html,
Münchener Rückversicherungs-Gesellschaft,05.05.2014,>,5%,7.47%,"5,32%",id_13095321.html,
Münchener Rückversicherungs-Gesellschaft,05.05.2014,>,"3%, 5%",5.32%,"0,26% §22 ABs. 1",id_13095323.html,"mehrere Daten, "
BASF SE,02.05.2014,<>,5%,5.46%,???,id_13101520.html,"mehrere Daten, §21,22 unklar, 2 in 1er Meldung, "
Bayer Aktiengesellschaft,07.05.2014,<,3%,0.61%,"0,01%",id_13106948.html,"mehrere Daten, "
Bayer Aktiengesellschaft,09.05.2014,<,5%,0.00%,"0,01%",id_13106949.html,
Bayer Aktiengesellschaft,09.05.2014,<,5%,2.79%,"0,01%",id_13106951.html,
adidas AG,07.05.2014,>,3%,4.35%,"0,03%",id_13114578.html,"mehrere Daten, "
adidas AG,07.05.2014,>,5%,5.41%,"4,35%",id_13114585.html,
adidas AG,07.05.2014,>,5%,8.58%,"4,35%",id_13114588.html,
HeidelbergCement AG,07.05.2014,>,5%,5.38%,"4,64%",id_13114676.html,
adidas AG,07.05.2014,>,5%,5.41%,"4,35%",id_13114680.html,
Merck KGaA,07.05.2014,<>,3%,3.89%,???,id_13114684.html,"mehrere Daten, §21,22 unklar, 2 in 1er Meldung, "
HeidelbergCement AG,07.05.2014,>,5%,8.23%,"4,64%",id_13114685.html,
HeidelbergCement AG,07.05.2014,>,3%,4.64%,4.64%,id_13114686.html,"mehrere Daten, "
Merck KGaA,07.05.2014,>,5%,5.92%,"3,89%",id_13114773.html,
Merck KGaA,07.05.2014,>,5%,6.13%,"3,89%",id_13114776.html,
HeidelbergCement AG,07.05.2014,>,3%,4.64%,4.64%,id_13121640.html,"mehrere Daten, "
Fresenius SE & Co. KGaA,14.05.2014,<>,5%,7.69%,"2,29%",id_13127613.html,"2 in 1er Meldung, "
Fresenius SE & Co. KGaA,14.05.2014,<>,5%,5.22%,"2,29%",id_13127614.html,"2 in 1er Meldung, "
Münchener Rückversicherungs-Gesellschaft,9.05.2014,<,"5%, 10%",???,"0,27%",id_13138269.html,"anteil unklar, "
BASF SE,13.05.2014,<,5%,???,???,id_13138270.html,"mehrere Daten, anteil unklar, §21,22 unklar, "
adidas AG,13.05.2014,<,3%,0.99%,"0,03%",id_13138275.html,"mehrere Daten, "
Münchener Rückversicherungs-Gesellschaft,09.05.2014,<,"3%, 5%",0.27%,"0,27% §22 ABs. 1",id_13138278.html,"mehrere Daten, "
Münchener Rückversicherungs-Gesellschaft,9.05.2014,<,5%,0.00%,"0,27%",id_13138281.html,
Fresenius Medical Care AG & Co. KGaA,13.05.2014,>,3%,3.11%,"0,01%",id_13138315.html,"mehrere Daten, "
Fresenius Medical Care AG & Co. KGaA,13.05.2014,>,5%,7.86%,"3,11%",id_13138319.html,
Fresenius Medical Care AG & Co. KGaA,13.05.2014,>,5%,5.34%,"3,11%",id_13138321.html,
Allianz SE,13.05.2014,<>,5%,5.19%,"1,16%",id_13138756.html,"2 in 1er Meldung, "
HeidelbergCement AG,14.05.2014,<,3%,1.75%,"0,004%",id_13143918.html,"mehrere Daten, "
HeidelbergCement AG,15.05.2014,<,5%,2.86%,"0,004%",id_13143919.html,
HeidelbergCement AG,15.05.2014,<,5%,0%,"0,004%",id_13143922.html,
Merck KGaA,15.05.2014,>,3%,3.32%,???,id_13143956.html,"§21,22 unklar, "
Merck KGaA,19.05.2014,<,5%,0.37%,"0,02%",id_13143968.html,
Merck KGaA,16.05.2014,<,3%,1.62%,???,id_13143974.html,"§21,22 unklar, "
Merck KGaA,19.05.2014,<,5%,0.0%,"0,02%",id_13143976.html,
Symrise AG,15.05.2014,>,5%,8.69%,"8,64%",id_13143990.html,
Symrise AG,15.05.2014,>,"3%, 5%",8.64%,"0,0009%",id_13144001.html,"mehrere Daten, "
Symrise AG,19.05.2014,<,5%,0.02%,"0,0009%",id_13144002.html,
Symrise AG,15.05.2014,>,5%,8.67%,"8,64%",id_13144006.html,
Symrise AG,19.05.2014,<,"5%, 3%",0.0009%,"0,0009%",id_13144010.html,"mehrere Daten, "
Symrise AG,19.05.2014,<,5%,0.00%,"0,0009%",id_13144012.html,
Fresenius SE & Co. KGaA,16.05.2014,>,3%,3.57%,3.57%,id_13144277.html,
Linde AG,16.05.2014,>,5%,8.84%,"2,19%",id_13144327.html,
Fresenius SE & Co. KGaA,19.05.2014,<>,3%,2.99%,2.99%,id_13149515.html,"mehrere Daten, 2 in 1er Meldung, "
adidas AG,20.05.2014,<,5%,3.22%,"0,03%",id_13154784.html,
adidas AG,20.05.2014,<,5%,0.00%,"0,03%",id_13154788.html,
Fresenius Medical Care AG & Co. KGaA,22.05.2014,<,5%,0.00%,"0,01%",id_13164438.html,
Fresenius Medical Care AG & Co. KGaA,16.05.2014,<>,3%,1.36%,"0,01%",id_13164439.html,"mehrere Daten, 2 in 1er Meldung, "
Deutsche Bank AG,19.05.2014,>,5%,8.19%,"4,16%",id_13164445.html,
Fresenius Medical Care AG & Co. KGaA,22.05.2014,<,5%,2.53%,"0,01%",id_13164447.html,
Deutsche Bank AG,19.05.2014,>,5%,5.72%,"4,16%",id_13164507.html,
Deutsche Bank AG,19.05.2014,>,3%,4.16%,"0,006%",id_13164509.html,"mehrere Daten, "
Deutsche Bank AG,26.05.2014,<,3%,1.47%,"0,005%",id_13164510.html,"mehrere Daten, "
Fresenius SE & Co. KGaA,26.05.2014,<,5%,2.53%,"0,05%",id_13169575.html,
Fresenius SE & Co. KGaA,26.05.2014,<,5%,0.00%,"0,05%",id_13169579.html,
Linde AG,16.05.2014,>,5%,???,"2,19%",id_13176147.html,"anteil unklar, "
Linde AG,28.05.2014,<,5%,0.00%,"0,06%",id_13179617.html,
Deutsche Bank AG,03.06.2014,<,5%,2.54%,"0,005%",id_13203371.html,
Deutsche Bank AG,03.06.2014,<,5%,0.00%,"0,005%",id_13203378.html,
Continental AG,19.08.2014,<,30%,29.00%,"0,004%",id_13504528.html,
SGL CARBON SE,16.10.2014,<,5%,???,"0,00%",id_13745341.html,"anteil unklar, "
SGL CARBON SE,16.10.2014,<,5%,???,"0,00%",id_13745354.html,"anteil unklar, "
SGL CARBON SE,14.10.2014,>,5%,???,"8,84%",id_13745363.html,"anteil unklar, "
SGL CARBON SE,10.10.2014,<>,"3%, 5%",8.84%,???,id_13745377.html,"mehrere Daten, §21,22 unklar, 2 in 1er Meldung, "
SGL CARBON SE,14.10.2014,>,5%,???,"8,84%",id_13745378.html,"anteil unklar, "
Continental AG,04.11.2014,<,25%,8.37%,"0,004%",id_13838144.html,
Continental AG,23.12.2014,<,5%,0.06%,"0,003%",id_14189582.html,
Siemens Aktiengesellschaft,21.01.2015,>,3%,3.73%,"0,02%",id_14474068.html,"mehrere Daten, "
Siemens Aktiengesellschaft,20.01.2015,>,5%,5.41%,"2,64%",id_14474080.html,
Siemens Aktiengesellschaft,20.01.2015,>,5%,6.78%,"2,64%",id_14474084.html,
Siemens Aktiengesellschaft,29.01.2015,<,3%,2.22%,"0,02%",id_14538704.html,"mehrere Daten, "
Siemens Aktiengesellschaft,04.02.2015,<,5%,1.41%,"0,02%",id_14622243.html,
Siemens Aktiengesellschaft,04.02.2015,<,5%,0.00%,"0,02%",id_14622244.html,
SHW AG,18.02.2015,>,3%,zudiesemDatum10.76%,???,id_14744570.html,"§21,22 unklar, "
SHW AG,20.02.2015,<,3%,zudiesemDatum1.42%,???,id_14744640.html,"§21,22 unklar, "
Deutsche Annington Immobilien SE,11.03.2015,<,10%,0.0007%,"0,0007%",id_14862143.html,"mehrere Daten, "
Deutsche Annington Immobilien SE,06.03.2015,>,3%,11.71%,"0,0007%",id_14862214.html,"mehrere Daten, "
Deutsche Annington Immobilien SE,11.03.2015,<,"10%, 5%",0.00%,"0,0007%",id_14862246.html,
Deutsche Annington Immobilien SE,06.03.2015,>,"5%, 10%",11.79%,"11,71%",id_14862292.html,
Sixt Leasing AG,06.05.2015,???,???,???,???,id_15176570.html,"mehrere Daten, Schwelle unklar, anteil unklar, §21,22 unklar, art unklar, "
Sixt Leasing AG,11.05.2015,<,10%,0.001%,"0,001%",id_15183378.html,"mehrere Daten, "
Linde AG,8.05.2015,<>,5%,5.07%,"2,94%",id_15196282.html,"2 in 1er Meldung, "
Linde AG,8.05.2015,<>,5%,6.75%,"2,94%",id_15196283.html,"2 in 1er Meldung, "
comdirect bank AG,18.05.2015,>,5%,81.31%,???,id_15229151.html,"§21,22 unklar, "
comdirect bank AG,18.05.2015,>,5%,81.31%,???,id_15235517.html,"§21,22 unklar, "
